"","date","country","region","unemployment_rate","vacancy_rate","active_pop","active_pop_growth","vacancy_stock_eurostat"
"1",2010-01-01,"Austria","Continental",6.16115487924063,1.36095293923734,4156000,NA,56561.2041547038
"2",2010-04-01,"Austria","Continental",5.97325301439235,1.51624220687122,4152000,-0.0962463907603465,62954.3764292932
"3",2010-07-01,"Austria","Continental",5.83883220281748,1.79330966802267,4162000,0.240847784200385,74637.5483831035
"4",2010-10-01,"Austria","Continental",5.79864047924382,1.98417508800221,4180000,0.432484382508409,82938.5186784922
"5",2011-01-01,"Austria","Continental",5.72638566642103,1.93965968471071,4190000,0.239234449760766,81271.7407893789
"6",2011-04-01,"Austria","Continental",5.77155708275908,1.80742880194635,4186000,-0.0954653937947494,75658.9696494743
"7",2011-07-01,"Austria","Continental",5.8478569792185,1.65787270504098,4178000,-0.191113234591495,69265.9216166121
"8",2011-10-01,"Austria","Continental",5.89322812755826,1.62854015488989,4206000,0.670177118238392,68496.3989146688
"9",2012-01-01,"Austria","Continental",5.97099749012236,1.67997283156455,4214000,0.19020446980504,70794.05512213
"10",2012-04-01,"Austria","Continental",5.99494703228337,1.77442920115321,4243000,0.688182249644044,75289.0310049305
"11",2012-07-01,"Austria","Continental",6.08936294473614,1.68464085520048,4246000,0.0707046900777752,71529.8507118124
"12",2012-10-01,"Austria","Continental",6.22748077731476,1.40908193247544,4247000,0.023551577955723,59843.709672232
"13",2013-01-01,"Austria","Continental",6.37332179172399,1.57651105773825,4273000,0.612196844831646,67364.3174971554
"14",2013-04-01,"Austria","Continental",6.45052603277877,1.55797237854819,4280000,0.16381933068102,66681.2178018627
"15",2013-07-01,"Austria","Continental",6.72285518497293,1.39071310258671,4285000,0.116822429906542,59592.0564458404
"16",2013-10-01,"Austria","Continental",6.94848216218112,1.5505454786187,4275000,-0.233372228704784,66285.8192109496
"17",2014-01-01,"Austria","Continental",7.02999646922224,1.43894024033506,4292000,0.39766081871345,61759.3151151806
"18",2014-04-01,"Austria","Continental",7.24803848550539,1.41828787141289,4299000,0.16309412861137,60972.1955920403
"19",2014-07-01,"Austria","Continental",7.41736205141968,1.5102248572207,4288000,-0.25587345894394,64758.4418776237
"20",2014-10-01,"Austria","Continental",7.62012748981333,1.4350587984827,4309000,0.489738805970149,61836.6836266196
"21",2015-01-01,"Austria","Continental",7.91643055442849,1.50928998124588,4317000,0.185657925272685,65156.0484903846
"22",2015-04-01,"Austria","Continental",8.11513802240157,1.5320842665496,4327000,0.231642344220524,66293.286213601
"23",2015-07-01,"Austria","Continental",8.07198791161206,1.62733516126337,4338000,0.254217702796395,70593.7992956051
"24",2015-10-01,"Austria","Continental",8.10719285359909,1.46965669999127,4371000,0.760719225449516,64238.6943566183
"25",2016-01-01,"Austria","Continental",8.0394173665751,1.61970747809315,4409000,0.869366277739648,71412.9027091269
"26",2016-04-01,"Austria","Continental",7.98470696967733,1.69956103674968,4437000,0.635064640508052,75409.5232005835
"27",2016-07-01,"Austria","Continental",7.89101058307912,1.60397482807262,4451000,0.315528510254677,71392.9195975124
"28",2016-10-01,"Austria","Continental",7.91623377216054,1.64896645795956,4434000,-0.38193664345091,73115.172745927
"29",2017-01-01,"Austria","Continental",7.8403000749653,1.90679348068056,4441000,0.15787099684258,84680.6984770236
"30",2017-04-01,"Austria","Continental",7.617170210943,2.31594799691647,4457000,0.360279216392704,103221.802222567
"31",2017-07-01,"Austria","Continental",7.48214695696034,2.29541905137122,4440000,-0.381422481489791,101916.605880882
"32",2017-10-01,"Austria","Continental",7.22888542960719,2.24350901225342,4468000,0.630630630630631,100239.982667483
"33",2018-01-01,"Austria","Continental",6.98521812399027,2.50927389211571,4474000,0.134288272157565,112264.913933257
"34",2018-04-01,"Austria","Continental",6.91478528794533,2.45634009086587,4474000,0,109896.655665339
"35",2018-07-01,"Austria","Continental",6.88728953113282,2.74904884497247,4475000,0.0223513634331694,123019.935812518
"36",2018-10-01,"Austria","Continental",6.71746610385023,3.00949721607222,4485000,0.223463687150838,134975.950140839
"37",2019-01-01,"Austria","Continental",6.55931310209981,2.757386106693,4511000,0.579710144927536,124385.687272921
"38",2019-04-01,"Austria","Continental",6.6439224895955,2.85621304735795,4502000,-0.199512303258701,128586.711392055
"39",2019-07-01,"Austria","Continental",6.7046083323994,2.78324796830971,4478000,-0.533096401599289,124633.844020909
"40",2019-10-01,"Austria","Continental",6.5291411530946,2.94620352431873,4506000,0.625279142474319,132755.930805802
"41",2020-01-01,"Austria","Continental",7.82640330693935,2.57585100986422,4489000,-0.377274744784731,115629.951832805
"42",2020-04-01,"Austria","Continental",10.9256249547158,1.92589546317829,4388000,-2.2499443083092,84508.2929242634
"43",2020-07-01,"Austria","Continental",8.77925887809135,2.16960963210429,4481000,2.11941659070191,97220.2076145932
"44",2020-10-01,"Austria","Continental",8.57081509373857,2.50504819165523,4474000,-0.156215130551216,112075.856094655
"45",2021-01-01,"Austria","Continental",8.39482322944391,2.42847538161161,4496000,0.491729995529727,109184.253157258
"46",2021-04-01,"Austria","Continental",7.50982005100916,3.07898525465886,4497000,0.0222419928825623,138461.966902009
"47",2021-07-01,"Austria","Continental",6.77691425102974,3.51230341904977,4523000,0.578163219924394,158861.483643621
"48",2021-10-01,"Austria","Continental",6.22971376801041,3.96963014404058,4537000,0.309529073623701,180102.119635121
"49",2022-01-01,"Austria","Continental",5.66234081230075,4.33934513327433,4557000,0.440819925060613,197743.957723311
"50",2022-04-01,"Austria","Continental",5.65649039408035,4.50752704296901,4573000,0.351108185209568,206129.211674973
