"","country","date","unemployment_level_oecd","active_pop_oecd","vacancy_stock_oecd","vacancy_stock_lm_v1","unemployment_rate_oecd","vacancy_rate_oecd","vacancy_rate_lm_v1","vacancy_stock_eurostat","becru_lm_v1","fegap_lm_v1"
"91","Austria",1992-07-01,194493.5,3689828,43226.89,83873.7718732493,5.27107225594255,1.17151504080949,2.27310790294966,NA,3.46146154131484,1.80961071462771
"92","Austria",1992-10-01,205057.1,3687252,39611.19,79412.4491854059,5.56124452573353,1.07427401219119,2.15370278964947,NA,3.46081895640254,2.10042556933099
"93","Austria",1993-01-01,216283.3,3686072,35207.81,73979.2276523151,5.86758207653025,0.955157956762646,2.0069935598739,NA,3.43164675332817,2.43593532320208
"94","Austria",1993-04-01,222681.1,3733741,34345.64,72915.4174407992,5.96402107162763,0.919872053257042,1.952878291258,NA,3.41277120232031,2.55124986930731
"95","Austria",1993-07-01,224597.9,3735955,32179.23,70242.337792551,6.01179350393674,0.861338800922388,1.8801708744498,NA,3.36202305900902,2.64977044492772
"96","Austria",1993-10-01,225495.7,3745600,29891.66,67419.7618208083,6.02028246475865,0.798047308842375,1.79997228269992,NA,3.29185989534639,2.72842256941226
"97","Austria",1994-01-01,217058.5,3832629,30877.55,68636.2270764208,5.66343624702521,0.805649333655827,1.79083931881799,NA,3.18469846465749,2.47873778236773
"98","Austria",1994-04-01,216241.6,3836582,29888.37,67415.7023712846,5.63630856840803,0.779036392288761,1.75718132366999,NA,3.14706468806215,2.48924388034587
"99","Austria",1994-07-01,214453.8,3859755,29966.85,67512.5368997416,5.55615058468737,0.776392543050012,1.7491404739353,NA,3.11744893574153,2.43870164894584
"100","Austria",1994-10-01,212008.4,3821883,30053.89,67619.9334002117,5.54722371145323,0.786363423474764,1.7692831884234,NA,3.13282774105086,2.41439597040237
"101","Austria",1995-01-01,208794.8,3884526,27819.55,64863.0366072377,5.37503932268699,0.716163310530036,1.66977995789545,NA,2.99585262219667,2.37918670049032
"102","Austria",1995-04-01,212733,3872102,26011.93,62632.6590546201,5.49399266858156,0.671778016178293,1.6175363937887,NA,2.98106240938343,2.51293025919813
"103","Austria",1995-07-01,217204.7,3870162,24143.12,60326.7806763617,5.61228961474998,0.623827116280921,1.55876629134289,NA,2.95774371248187,2.65454590226811
"104","Austria",1995-10-01,224132.2,3855755,21970.06,57645.4957577996,5.81292639184803,0.569799170331103,1.49505079440472,NA,2.94798579032338,2.86494060152465
"105","Austria",1996-01-01,234784,3850158,21085.69,56554.2935160627,6.09803545724617,0.547657784433782,1.46888240732102,NA,2.99287437129738,3.10516108594879
"106","Austria",1996-04-01,230678.4,3842186,20249.5,55522.5393831568,6.00383219344404,0.527030705957494,1.44507682301577,NA,2.94550483822756,3.05832735521649
"107","Austria",1996-07-01,228627.8,3826122,18803.35,53738.1707118,5.97544458854161,0.491446691976889,1.40450750686465,NA,2.89699098746621,3.0784536010754
"108","Austria",1996-10-01,227939.2,3837307,17583.47,52232.9909899075,5.94008245887024,0.458224218182178,1.36118874486476,NA,2.84351426699125,3.096568191879
"109","Austria",1997-01-01,231236.9,3838148,18000.09,52747.0480903886,6.02469993340538,0.46897852818599,1.37428384966887,NA,2.87743771741112,3.14726221599426
"110","Austria",1997-04-01,232989.9,3840893,18122.75,52898.3952267359,6.06603464350608,0.471836887932051,1.37724209517776,NA,2.89039759580636,3.17563704769972
"111","Austria",1997-07-01,234060.1,3858458,19151.57,54167.8307461947,6.06615648012755,0.496352947213628,1.40387249896707,NA,2.91823752578194,3.14791895434561
