"","country","year","active_pop_oecd","active_pop_growth_oecd","unemployment_rate_oecd","vacancy_rate_lm_v1","vacancy_rate_oecd","unemployment_level_oecd","vacancy_stock_oecd","vacancy_stock_lm_v1","vacancy_stock_eurostat","becru_lm_v1","fegap_lm_v1"
"121","Germany",1984,34401735,0.192781284874121,6.58898714800412,0.579226760926886,0.222950230824569,2266749.75,76708.845,199278.553288402,NA,1.95359097139788,4.63539617660624
"122","Germany",1985,34662050,0.756691486635776,6.65102335924351,0.659071178329037,0.27805637357083,2305333.5,96407.2875,228486.895172502,NA,2.09368044421076,4.55734291503275
"123","Germany",1986,34930527.5,0.774557477125559,6.35719456107475,0.812698719226729,0.382943777194103,2220416.5,133791.15,283918.721158144,NA,2.27299007425474,4.08420448682
"124","Germany",1987,35189640,0.741793836351312,6.33639482587875,0.863745681205602,0.418586906605402,2229750.25,147306.875,303959.489183915,NA,2.33945157361,3.99694325226875
"125","Germany",1988,36877762.5,4.79721446425709,6.05540845272278,0.890642949904866,0.444231454266873,2233000.25,163842.025,328477.38263183,NA,2.32232789399169,3.73308055873109
"126","Germany",1989,37068155,0.516279966822824,5.47267696193474,1.11549595954062,0.596677324916639,2028500,221283.8,413650.563335307,NA,2.47077903482064,3.0018979271141
"127","Germany",1990,39101152.5,5.48448526774532,4.70724194470218,1.24682178447066,0.693337848369624,1840500,271105.025,487524.189277291,NA,2.42262085383345,2.28462109086873
"128","Germany",1991,39074997.5,-0.0668906114723856,4.33038360109395,1.41525662427216,0.806833295058356,1692000,315246.75,552976.399275818,NA,2.47560176060039,1.85478184049356
"129","Germany",1992,39004500,-0.180415878465507,7.6769978467464,1.379980561735,0.782776581845881,2994333.5,305325.65,538265.648379328,NA,3.25485910616596,4.42213874058043
"130","Germany",1993,39101750,0.24933020548911,8.81362769978282,1.12501602163723,0.611192834650221,3446666.75,238969.25,439874.091920075,NA,3.14888430575043,5.66474339403239
"131","Germany",1994,39074252.5,-0.07032293951038,9.45094908473342,1.1620886821222,0.636088882205056,3693083.5,248459,453945.248174923,NA,3.31403695916051,6.13691212557291
"132","Germany",1995,38979750,-0.241853634947975,9.29657817980405,1.27425422606196,0.711379230271729,3623916.5,277287.75,496691.774256426,NA,3.44183149406398,5.85474668574007
"133","Germany",1996,39142000,0.416241766558277,10.170947228161,1.2910227712566,0.723301419191156,3981250,283110.975,505326.301918603,NA,3.62366174977812,6.54728547838284
"134","Germany",1997,39415250,0.698099228450258,11.1661416790846,1.31932472316215,0.743409864522999,4401333.75,293032.1,520037.089884448,NA,3.83819837678405,7.32794330230057
"135","Germany",1998,39754000,0.859438922751981,10.7257688304814,1.57663520228411,0.918190153404702,4264083.5,364996.075,626743.41375441,NA,4.11225299680098,6.61351583368042
"136","Germany",1999,39375157.5,-0.952966997031745,10.3967850661814,1.70998330490519,1.00672640200196,4093750.25,396401.475,673310.529921433,NA,4.21643556666739,6.18034949951399
"137","Germany",2000,39300725,-0.189034164498263,9.87152636103308,1.92387703472344,1.15070116097856,3879500,452249.975,756121.243596596,NA,4.35793561949446,5.51359074153862
"138","Germany",2001,39455617.5,0.394121228043503,9.78615920388902,1.83380774021893,1.09053374844474,3861250,430250.025,723500.285821223,NA,4.23626421450626,5.54989498938276
"139","Germany",2002,39499430,0.111042489703779,10.3176815942995,1.61027317031953,0.939941736690169,4075500,371250,636016.572255014,NA,4.07606254260164,6.24161905169785
"140","Germany",2003,39591277.5,0.232528671932734,11.0695446460157,1.21147526002675,0.671326439369218,4382583.5,265750.025,479583.933554568,NA,3.6620321514713,7.40751249454435
"141","Germany",2004,39795710,0.516357422414571,11.0274698610811,0.982275062845404,0.517496222474808,4388667,205916.65,390864.550127194,NA,3.29120170315028,7.73626815793087
"142","Germany",2005,40932425,2.8563757249211,11.8723904156966,1.13282177268722,0.623055334132555,4859500.25,255083.325,463767.626231025,NA,3.66732904942332,8.20506136627328
"143","Germany",2006,41417725,1.185612628619,10.8254446539114,1.36681348683791,0.852957828286845,4483333.75,353333.35,566047.428550243,566047.428550243,3.84660418473015,6.97884046918129
"144","Germany",2007,41589625,0.41503969616873,9.03667498001935,1.36898618856382,1.0167330169202,3757916.75,422833.325,569445.819007266,569445.819007266,3.51725507152761,5.51941990849173
"145","Germany",2008,41677497.5,0.211284665346225,7.81704141678696,1.50688504302401,0.932606491077128,3257750.25,388666.65,627776.374796106,627776.374796106,3.43211054478954,4.38493087199743
"146","Germany",2009,41698877.5,0.0512986654249094,8.19324541118432,1.4066172127713,0.72283079839869,3416333.25,301416.65,586537.139899938,586537.139899938,3.39481369501057,4.79843171617375
"147","Germany",2010,40837225,-2.06636857311087,7.92151706409269,1.60257634817867,0.879086907869333,3234916.5,359000,654484.040818338,654484.040818338,3.56298132027221,4.35853574382049
"148","Germany",2011,41184677.5,0.850822992992301,7.21813664021273,2.05900393323095,1.13167761541076,2972416.75,466166.65,847946.541437084,847946.541437084,3.85514873030814,3.3629879099046
"149","Germany",2012,41350350,0.402267323812357,7.00253921103651,1.94404490097654,1.15551638654973,2895583.25,477750,803930.612955234,803930.612955234,3.68961388862084,3.31292532241567
"150","Germany",2013,41711525,0.873450889774815,7.06859521565993,1.89243482655204,1.09564379424341,2948417,457000,789402.702232538,789402.702232538,3.65743841519088,3.41115680046905
"151","Germany",2014,41959450,0.594380090394681,6.90086833670889,2.07118669533281,1.1679149374712,2895500,490083.35,869101.195959874,869101.195959874,3.78060665571478,3.12026168099411
"152","Germany",2015,42158325,0.473969511039825,6.62284193865977,2.19103880930657,1.34796330563345,2792000,568333.325,923774.720448447,923774.720448447,3.80931801186337,2.8135239267964
"153","Germany",2016,43039172.5,2.08937973697959,6.24628179378845,2.26493968715931,1.52225067225966,2688333.25,655166.675,974797.680611032,974797.680611032,3.76130981599922,2.48497197778923
"154","Germany",2017,43282625,0.565653301071251,5.84624375984217,2.54518997139674,1.686702257023,2530333.25,730083.325,1101680.50451331,1101680.50451331,3.85743450856798,1.98880925127419
"155","Germany",2018,43380675,0.226534319487323,5.38951416342905,2.8976698152845,1.83529873757067,2338000,796166.65,1257032.91044475,1257032.91044475,3.95183913012873,1.43767503330031
