,year,ccode,ACCU,PUCA,PRCA,PUINV,PRINV,UDENS,LTU,TFP,INFL,EPL,OG,TGLOB,FGLOB,EGLOB,LRG_pg,LRG_cp,OCR,PS,ROP,UNR,VACR,BECRU,FEGAP,Eighties,Nineties,FinancialCrisis,EuroCrisis,CovidCrisis,DCOU_AUT,DCOU_DEU,DCOU_SWE,DCOU_GBR,DCOU_USA,DCLU_CON,DCLU_SOD,DCLU_LIB,DCLU_LIBEU,DCLU_LIBUS,DCLU_MED
330,1981,GBR,6.119579491,0.855481909,5.29355076,2.622437195,16.22711628,52.1,NA,0.813223978,11.87662,1.35,-2.9234325,60.88,77.83,69.35,7.4261,9,33.2135491,27.3511499,9.0842876,7.961192561,0.348491327,1.665654995,6.295537567,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
331,1982,GBR,6.383021246,0.799977207,5.583697214,2.340777099,16.33820371,52,NA,2.726487172,8.59887,1.35,-2.8019606,60.67,78.63,69.65,7.4261,9,35.0933986,28.0618485,9.8478563,9.402175244,0.435851591,2.02434015,7.377835094,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
332,1983,GBR,6.775756405,0.991358286,5.831390173,2.735667562,16.09180572,50.1,45.6173913,4.094777811,4.609302,1.35,-1.0814287,60.26,79.63,69.94,7.4261,9,36.5207188,28.7808299,10.510966,10.2836437,0.522253216,2.317469739,7.96617396,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
333,1984,GBR,7.108784901,1.044710835,6.114877531,2.897863022,16.96170546,47.8,46.2943072,0.490224965,4.960712,1.35,-1.7215185,61.79,80.17,70.98,7.4261,9,36.3297848,28.9615375,10.5216643,10.49052746,0.556181544,2.415499484,8.075027979,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
334,1985,GBR,7.135502146,1.001426082,6.169695202,2.794906843,17.2191674,45.3,50.25924978,2.804815093,6.071394,1.35,-0.8269366,61.82,81.21,71.52,7.4261,9,36.6818191,29.1447677,10.690831,10.8034748,0.594606162,2.534524154,8.268950643,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
335,1986,GBR,6.934487623,1.005708125,5.973976392,2.876298155,17.08541161,45.5,48.18802269,2.396607806,3.427615,1.35,-0.858431,59.97,81.13,70.55,7.4261,9,36.4598218,29.1422888,10.6252266,10.98930788,0.686416539,2.746496438,8.242811445,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
336,1987,GBR,7.626217797,0.949553912,6.67541073,2.632707798,18.50806537,44,47.93720938,2.869904813,4.148918,1.35,1.2049649,59.15,82.5,70.82,7.4261,9,37.022916,29.435698,10.8979537,9.866297898,0.844454048,2.886457206,6.979840693,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
337,1988,GBR,8.551483345,0.826676086,7.72469795,2.208341089,20.63537118,42.3,43.02021403,1.940812537,4.2094,1.35,3.6841069,58.44,82.11,70.27,7.4261,9,36.849686,29.9879377,11.0504609,7.90310678,0.881095252,2.638823575,5.264283204,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
338,1989,GBR,8.665554829,0.963995736,7.70076293,2.702196084,21.58616543,41.1,39.14678855,-0.26169019,5.7,1.35,3.2700755,59.84,82.12,70.98,7.4261,9,35.2643784,28.8730924,10.1819166,6.132977189,0.770740668,2.174151544,3.958825645,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
339,1990,GBR,8.199615111,1.049940206,7.148167794,3.006066607,20.46580214,39.6,34.39188166,-0.684797452,8,1.35,1.5065312,58.16,82.78,70.47,7.4261,9,33.485154,27.0888121,9.0707305,5.698169847,0.610179367,1.864646258,3.833523589,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0
340,1991,GBR,7.401468251,0.963637941,6.436387962,2.741777116,18.31304112,39.8,28.82069051,-0.167635599,7.5,1.35,-1.4885045,57.26,82.57,69.92,7.4261,9,35.6497863,26.6787465,9.5109161,7.907022362,0.421443437,1.825476014,6.081546348,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0
341,1992,GBR,7.170113186,0.92990458,6.23883401,2.524624183,16.93798649,39.5,35.39115584,0.877619676,4.6,1.35,-2.7848401,59.84,81.87,70.86,7.4261,9,38.3528035,27.4878305,10.5423536,9.667700759,0.423650974,2.023791205,7.643909553,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0
342,1993,GBR,7.120995638,0.885180831,6.234655949,2.323529263,16.36547589,37.5,42.51944012,2.372105112,2.6,1.35,-2.2153873,61.21,83.58,72.4,7.4261,9,40.5379069,29.4263843,11.9288403,10.18917006,0.463497898,2.173167943,8.016002113,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0
343,1994,GBR,7.129583314,0.902000983,6.226335234,2.316481129,15.99021324,36.2,45.43556778,2.735854467,2.2,1.35,-0.5999375,62.68,83.58,73.13,7.4261,9,41.9956223,30.7878739,12.9295592,9.221056971,0.570954373,2.294515809,6.926541162,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0
344,1995,GBR,6.991737076,0.803202019,6.187751706,2.076868462,15.99989302,33.9,43.56256077,1.175495961,2.7,1.35,-0.410338,61.84,83.99,72.91,7.4261,9,44.3386229,32.2328163,14.2915869,8.104155856,0.653789122,2.301827305,5.802328551,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0
345,1996,GBR,7.183547776,0.635432072,6.548346039,1.647415682,16.97718519,32.6,39.80642236,1.146321058,2.9,1.35,-0.5760406,63.1,85.02,74.06,7.4261,9,43.4267585,33.0246717,14.3415444,7.362360461,0.802381512,2.430518858,4.931841603,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0
346,1997,GBR,6.949441464,0.655390365,6.294049289,1.617796301,15.53652632,31.4,38.64909659,3.147158174,2.2,1.35,1.5189434,64.77,85.39,75.08,4.3562,3.652,39.6010442,32.1715783,12.7402809,5.557256627,1.002213247,2.359990722,3.197265905,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0
347,1998,GBR,7.276306836,0.709967624,6.56633825,1.709052191,15.80665708,30.1,32.65943702,1.697141973,1.8,1.35,1.6746546,65.59,86.88,76.23,4.3562,1,38.7893346,31.7769952,12.326085,4.715440648,1.043463893,2.218195676,2.497244973,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0
348,1999,GBR,7.280071769,0.713618977,6.566453406,1.711918556,15.75243063,30,29.61514631,1.378571985,1.7,1.35,1.6489275,67.37,89.24,78.31,4.3562,1,38.0934744,29.4046883,11.2012674,4.319732749,1.095666712,2.175543007,2.144189741,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0
349,2000,GBR,7.475409205,0.697758315,6.777650858,1.66045608,16.12878176,29.8,26.70945178,2.527098908,1.2,1.51,2.6319777,69.23,90.56,79.89,4.3562,1,37.5164893,28.5947596,10.7277499,3.744110707,1.240010511,2.154701054,1.589409653,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
350,2001,GBR,7.420274052,0.794565293,6.625709634,1.900425036,15.84723694,29.3,25.27700034,0.887381624,1.6,1.51,1.8928089,68.8,91.31,80.05,4.3562,1,36.3559401,27.1667184,9.8767159,3.321807341,1.922340058,2.526983047,0.794824295,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
351,2002,GBR,7.483865892,0.842928956,6.640934749,1.99401628,15.70966557,28.8,21.75296713,0.53366439,1.5,1.51,0.9373099,69.11,89.7,79.4,4.3562,1,35.997581,28.0784341,10.107557,3.212068827,2.079715141,2.584606,0.627462828,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
352,2003,GBR,7.569987945,0.903865186,6.666122816,2.086808247,15.3904811,29.3,21.44655026,1.794234331,1.4,1.51,1.4472253,69.86,90.44,80.15,4.3562,1,35.8143797,29.0610765,10.4080443,3.140479114,2.003379243,2.508300355,0.632178759,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
353,2004,GBR,7.625064044,1.052842008,6.57222103,2.406870689,15.02455832,28.8,20.50722793,0.942070129,1.4,1.51,1.3250524,68.61,90.35,79.48,4.3562,1,35.2954718,28.2956962,9.9870995,2.849034411,2.158990338,2.480128579,0.368905833,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
354,2005,GBR,7.79876465,0.645784923,7.152979543,1.4502272,16.06331322,28.6,21.05861789,1.216999674,2.1,1.51,1.4866567,69.34,89.91,79.63,4.3562,1,34.6451943,28.8637013,9.9998854,2.842607402,2.076061559,2.429285482,0.413321919,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
355,2006,GBR,7.848601082,1.093591888,6.755011628,2.475155281,15.28879547,28.3,22.35505808,0.769911997,2.5,1.51,1.4587782,68.89,90.08,79.49,4.3562,1,33.762677,28.2735714,9.5459146,3.066930367,1.983204032,2.466241811,0.600688556,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
356,2007,GBR,7.985696994,1.101434027,6.884262346,2.491538052,15.57279073,28,23.77576855,1.233490516,2.4,1.51,2.0111906,68.27,89.62,78.95,4.3562,1,33.3532933,27.9314788,9.316068,2.786052415,2.152874437,2.449085753,0.336966662,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
357,2008,GBR,7.567075171,1.26829349,6.298780415,2.938102742,14.5916258,27.5,24.1643256,-1.251098603,3.5,1.51,0.3022228,69.68,88.27,78.97,4.3562,1,31.92938,28.2505782,9.0202345,2.883340531,1.98882643,2.39467406,0.488666471,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0
358,2009,GBR,6.591098332,1.344098547,5.246999889,3.269127232,12.76179508,27.4,24.52439257,-3.756527561,2,1.51,-5.0449888,70.19,88.83,79.51,4.3562,1,29.8800958,26.8280166,8.0162371,4.840944866,1.421878861,2.623592417,2.217352449,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0
359,2010,GBR,6.856700261,1.345849509,5.510851721,3.134370873,12.83431246,26.6,32.5512516,2.045265083,2.5,1.51,-3.7178202,72.29,88.12,80.2,4.3562,5.9752,31.0507808,27.4137451,8.5121819,4.717307558,1.485462433,2.647146229,2.070161328,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
360,2011,GBR,6.79726718,1.261154198,5.536113956,2.901435113,12.73648809,26,33.46039387,0.591581297,3.8,1.51,-3.7311931,73.86,88.04,80.95,4.3562,9,31.3913498,27.707867,8.6978735,4.799245066,1.463849711,2.650542115,2.14870295,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0
361,2012,GBR,6.821673362,1.174737496,5.646936682,2.694017202,12.95008001,26.1,34.72646882,0.643963625,2.6,1.51,-3.2803236,72.76,88.11,80.44,4.3562,9,31.0289178,28.3499511,8.796683,4.91408452,1.495966322,2.711329,2.20275552,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0
362,2013,GBR,7.014344784,1.131713094,5.882632268,2.561807593,13.31624781,25.6,36.15056311,0.889235951,2.3,1.35,-2.6123252,72.5,88.25,80.38,4.3562,9,30.5982017,27.8069723,8.5084335,4.371747294,1.661226159,2.694895353,1.676851941,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
363,2014,GBR,7.409070569,1.225615565,6.183457639,2.732513291,13.7860359,25,35.73224685,1.402928212,1.5,1.35,-0.8887004,72.54,87.75,80.14,4.3562,9,30.906338,29.245341,9.038664,3.161144511,2.037778963,2.538053148,0.623091363,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
364,2015,GBR,7.792229121,1.200206902,6.592023446,2.663042776,14.6265118,24.7,30.668295,0.833664403,0.4,1.35,-0.1249502,71.94,88.63,80.29,4.3562,9,30.5830534,29.1889456,8.9268708,2.413330258,2.2273848,2.318494153,0.094836106,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
365,2016,GBR,8.054413949,1.188781219,6.86563313,2.618155625,15.12077724,23.6,26.4733021,0.6816258,1,1.35,0.3870988,73.06,88.46,80.76,4.3562,9,30.5603082,28.9324619,8.8418495,2.315343886,2.249290008,2.282077971,0.033265914,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
366,2017,GBR,8.207737912,1.198795955,7.00894399,2.649438783,15.49034926,23.3,25.49170069,1.191489897,2.6,1.35,1.4664042,74.18,89.27,81.72,4.3562,9,29.9597464,28.6346377,8.5788648,2.37134398,2.369249167,2.370296342,0.001047638,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
367,2018,GBR,8.073355295,1.194667349,6.878687696,2.6485929,15.25013922,23.4,25.14760598,0.409085531,2.3,1.35,2.0902864,73.32,89.49,81.41,4.3562,9,29.6796622,28.2156875,8.3743207,2.662244574,2.477070789,2.567989148,0.094255425,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
368,2019,GBR,8.107213048,1.241110022,6.866101191,2.758730654,15.26192159,23.5,24.09648958,0.364980187,1.7,1.35,2.9010348,73.08,89.55,81.31,4.3562,9,29.3836896,28.0840733,8.2521369,3.321683233,2.417715248,2.833881473,0.48780176,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
369,2020,GBR,7.219603755,1.301861839,5.91774214,3.127473568,14.21624136,NA,20.0371344,-10.76642794,1,NA,-8.6909408,71.23,88.91,80.07,4.3562,9,NA,NA,NA,6.595193918,1.624927759,3.27363921,3.321554709,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
370,2021,GBR,7.555729122,1.361872255,6.193857433,3.108733774,14.13866369,NA,28.42455302,7.329388423,2.5,NA,-2.2801258,NA,NA,NA,NA,NA,NA,NA,NA,6.720733606,2.852407947,4.37838714,2.342346466,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
371,2022,GBR,7.748995774,1.331740875,6.417255448,2.993242367,14.42352732,NA,NA,3.304588723,7.9,NA,1.08016,NA,NA,NA,NA,NA,NA,NA,NA,4.691646271,3.648107892,4.137104276,0.554541996,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
372,1970,USA,6.436384622,1.689182355,4.747203117,5.571187748,15.65701877,27.4,2.101661779,-1.024248696,5.838255,0.09,-0.2324043,39.58,37.7,38.64,6.80952381,9,35.8729145,22.248596,7.9812198,4.983333333,3.650001773,4.264876962,0.718456371,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
373,1971,USA,6.339237708,1.50115666,4.838072913,5.022891837,16.18826175,26.9,3.523790563,2.004171028,4.292767,0.09,0.0555229,39.48,37.7,38.59,6.80952381,9,35.4492718,23.3615273,8.2814913,5.95,3.184062095,4.352604906,1.597395094,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
374,1972,USA,6.654924662,1.443896576,5.211034444,4.744784039,17.12396404,26.3,5.103504817,2.305707991,3.272278,0.09,2.0847973,39.48,38.27,38.87,6.80952381,9,35.3488679,23.4205376,8.2788949,5.6,3.823391958,4.627201635,0.972798365,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
375,1973,USA,6.911278641,1.432503221,5.478768591,4.605119209,17.61279284,25.8,3.253150057,2.369087406,6.17776,0.09,4.4911257,40.21,38.84,39.53,6.544842857,8.7392,35.3658383,23.5802963,8.3393695,4.858333333,4.571347322,4.712656265,0.145677068,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
376,1974,USA,6.475708333,1.464881996,5.010824489,4.929074237,16.86055666,25.7,2.682215743,-2.622290046,11.0548,0.09,0.937494,41.35,38.75,40.05,6.539657143,8.7056,33.317199,22.7543097,7.5810987,5.641666667,3.884019338,4.681062105,0.960604562,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
377,1975,USA,5.891758192,1.429333315,4.46241825,5.009367061,15.63938289,25.3,5.307614725,-0.261461643,9.143147,0.09,-1.948872,40.93,38.95,39.94,6.161257143,8.2928,32.12484,23.4857593,7.5447626,8.475,2.776139897,4.850544879,3.624455121,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
378,1976,USA,6.229212115,1.41102268,4.8181846,4.785111094,16.3396017,24.4,8.678634094,2.565431727,5.744812,0.09,0.3299204,40.73,39.23,39.98,5.963257143,8.0768,33.0260043,24.2387086,8.005077,7.7,3.201242078,4.964832727,2.735167273,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
379,1977,USA,6.69771733,1.334840532,5.362870394,4.475013292,17.97886394,23.6,7.24803431,1.439759027,6.501684,0.09,1.6774642,41.8,39.33,40.56,3.53812381,5.4312,32.8398853,24.3411906,7.9936191,7.05,3.852380567,5.211456898,1.838543102,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
380,1978,USA,7.190719309,1.36002585,5.830691793,4.489166653,19.24591887,23.9,5.146821555,1.714893105,7.630964,0.09,3.7652056,41.67,40.46,41.07,3.404657143,5.2856,32.5990317,24.3828023,7.9485574,6.066666667,4.720995098,5.351701,0.714965666,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
381,1979,USA,7.366790422,1.378577176,5.988218204,4.571070888,19.85566741,22.4,4.217554144,0.22196794,11.25447,0.09,3.5640834,42.32,42.45,42.38,3.31152381,5.184,31.8313965,24.0736609,7.6629825,5.85,4.854252938,5.328919185,0.521080815,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
382,1980,USA,6.874716701,1.389997684,5.484720063,4.757896481,18.77393796,22.1,4.294317884,-1.5577538,13.5492,0.09,0.4514792,43.47,43.94,43.7,3.535714286,5,30.4931847,23.1250114,7.0515524,7.175,3.898713579,5.288976265,1.886023735,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
383,1981,USA,6.838534696,1.345677293,5.492857955,4.594274037,18.75315488,NA,6.745647969,0.853018586,10.33471,0.09,-0.1074382,43.32,44.49,43.91,7.135477381,8.7916,30.2872869,23.931057,7.2480679,7.616666667,3.546145501,5.197096135,2.419570532,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
384,1982,USA,6.380041995,1.329952515,5.050089395,4.693599803,17.82251496,NA,7.716800899,-2.086138585,6.131427,0.09,-4.6635872,42.97,45.76,44.37,7.333333333,9,29.0765777,22.9300489,6.6672735,9.708333333,2.540790677,4.966572542,4.741760791,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
385,1983,USA,6.701395305,1.408388712,5.293012853,4.710022586,17.70122827,19.5,13.34453154,2.903235196,3.212435,0.09,-3.3488164,42.29,46.11,44.2,7.333333333,9,30.5121526,24.8040095,7.5682372,9.6,2.799827118,5.184432499,4.415567501,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
386,1984,USA,7.494266889,1.527386387,5.966881784,4.784560186,18.69134442,18.2,12.28624971,3.545151459,4.300536,0.09,0.043999,42.1,47.13,44.61,7.857142857,9,32.1524284,25.7246857,8.2711112,7.508333333,3.774856315,5.323803105,2.184530229,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
387,1985,USA,7.783819584,1.665342207,6.118480995,5.06745948,18.61788789,17.4,9.450523025,1.702214164,3.545644,0.09,0.4812443,47.67,49.94,48.8,7.857142857,9,32.6990369,25.8092923,8.43939,7.191666667,3.957710127,5.335028772,1.856637895,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
388,1986,USA,7.799591748,1.718373572,6.081215217,5.198821914,18.39830142,17,8.67929109,0.910688245,1.898048,0.09,0.2260623,47.46,50.94,49.2,7.857142857,9,32.4974377,25.0929013,8.15455,7,3.902462302,5.226589338,1.773410662,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
389,1987,USA,7.724326952,1.756687348,5.967636208,5.244606711,17.8164344,16.5,8.096456958,0.80157377,3.664563,0.09,0.2315395,47.75,51.85,49.8,7.857142857,9,32.519247,24.2867859,7.8978799,6.175,4.166824553,5.072488701,1.102511299,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
390,1988,USA,7.700023478,1.690647691,6.009370926,4.934673185,17.54018991,16.2,7.415696807,1.785497201,4.077741,0.09,1.1305842,47.85,53.21,50.53,7.857142857,9,32.9573147,23.9509713,7.893597,5.491666667,4.228538674,4.818892496,0.672774171,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
391,1989,USA,7.726459912,1.681761864,6.044697669,4.793571406,17.22936554,15.9,5.730922464,1.408731988,4.827003,0.09,1.7644777,48.73,59.8,54.27,7.857142857,9,33.4163746,24.946581,8.336243,5.258333333,3.956019112,4.560928322,0.697405011,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
392,1990,USA,7.543704121,1.725763552,5.817941267,4.869414061,16.4159018,15.5,5.494037479,0.263034159,5.397956,0.09,0.811134,48.97,60.37,54.67,7.464285714,9,33.5205347,24.5108721,8.2161754,5.616666667,3.330132308,4.324840243,1.291826424,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
393,1991,USA,7.106713499,1.687107961,5.419610066,4.775704282,15.3413152,15.5,6.25796732,-0.261051387,4.234964,0.09,-1.8920515,49.12,60.46,54.79,7.464285714,9,33.3368642,24.2321458,8.0782375,6.85,2.453061538,4.099203769,2.750796231,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
394,1992,USA,7.259936966,1.66290126,5.597038088,4.541441535,15.28570689,15.2,11.06489185,2.432419012,3.02882,0.09,-1.2313641,49,60.19,54.6,7.464285714,9,34.2267189,24.058063,8.2342856,7.491666667,2.438898908,4.274507885,3.217158782,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
395,1993,USA,7.474862378,1.583419498,5.891446753,4.25574824,15.83441039,15.2,11.50531617,1.120816926,2.951657,0.09,-1.4186409,48.97,61.39,55.18,4.112782143,5.2084,34.1313845,24.7246747,8.4388738,6.908333333,2.685774407,4.307461533,2.6008718,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
396,1994,USA,7.752841513,1.533874143,6.218962039,4.036825438,16.36696484,14.9,12.2375,1.777242924,2.607442,0.09,-0.593988,48.89,63.44,56.16,3.928571429,5,34.3343765,25.4678369,8.744223,6.1,3.162532165,4.392202888,1.707797112,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
397,1995,USA,7.960537825,1.536610557,6.423927923,4.027463986,16.83714735,14.3,9.68264686,0.87466685,2.80542,0.09,-1.2544488,49.32,66.35,57.83,3.928571429,5,33.9140559,25.3300246,8.5904387,5.591666667,3.239198491,4.255880429,1.335786237,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
398,1996,USA,8.343087972,1.550908879,6.792181979,3.963262263,17.35704714,14,9.451430151,1.845711499,2.931204,0.09,-1.056767,50.18,68.51,59.35,4.4,5,34.1911998,25.409638,8.6878601,5.408333333,3.240484843,4.186361451,1.221971883,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
399,1997,USA,8.685482501,1.532303625,7.153176033,3.807672425,17.77516589,13.6,8.737576027,1.924241085,2.33769,0.09,-0.3928237,51.37,70.97,61.17,4.532502857,5.2108,34.4945231,25.2156811,8.6980289,4.941666667,3.456806477,4.13308424,0.808582426,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
400,1998,USA,9.186904594,1.566869944,7.62003209,3.795741675,18.45952402,13.4,7.98454604,2.260496131,1.552279,0.09,0.2383808,52.19,72.07,62.13,4.539794286,5.2224,34.4765277,23.875976,8.2316075,4.5,3.671254494,4.064559659,0.435440341,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
401,1999,USA,9.605073147,1.61262343,7.992450508,3.825888011,18.96178612,13.4,6.788023137,2.154278718,2.188027,0.09,1.2345037,52.65,74.51,63.58,4.539794286,5.2224,34.4778087,23.4931959,8.0999391,4.216666667,3.75876158,3.981136102,0.235530565,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
402,2000,USA,9.85393173,1.614902278,8.239030004,3.793305739,19.35297276,12.9,6.026001405,1.390189426,3.376857,0.09,1.8071115,53.43,76.96,65.19,3.946171429,5.2224,34.3122413,22.1709668,7.6073556,3.966666667,3.698514111,3.830244462,0.136422205,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
403,2001,USA,9.505065322,1.641493267,7.863573744,3.892325649,18.64618661,12.9,6.101146722,-0.168585715,2.826171,0.09,-0.2358348,53.37,75.71,64.54,6.594342857,8.5928,33.1948279,21.4767704,7.129177,4.741666667,2.975347738,3.756076037,0.98559063,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
404,2002,USA,9.09265089,1.713673251,7.378977199,4.059579449,17.48031264,12.8,8.524355301,1.123248487,1.586032,0.09,-1.1366498,52.75,72.62,62.69,7.036354286,8.7776,32.7467,22.4782394,7.3608816,5.783333333,2.371354,3.703286464,2.080046869,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
405,2003,USA,9.210761344,1.726085572,7.484674431,4.052049506,17.57054912,12.4,11.80895931,1.614905316,2.270095,0.09,-0.8975885,53.12,73.88,63.5,7.046034286,8.7888,32.4087516,23.502166,7.6167586,5.991666667,2.239445558,3.663060373,2.328606293,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
406,2004,USA,9.461600767,1.701666325,7.759934781,3.979668427,18.14807461,12,12.67018275,1.903437045,2.677237,0.09,0.2667234,54.29,77.01,65.65,7.030194286,8.7896,31.8134694,24.1101848,7.6702863,5.541666667,2.427296988,3.667597417,1.87406925,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
407,2005,USA,9.703436375,1.665490771,8.037944327,3.936484523,18.99814997,12,11.75230567,1.298577939,3.392747,0.09,1.0828333,53.78,76.37,65.07,7.05584,8.8168,30.7071048,25.1905472,7.7352877,5.083333333,2.717179228,3.716494012,1.366839321,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
408,2006,USA,9.643333535,1.669080277,7.974254319,3.987476348,19.05070171,11.5,10.00999572,0.419259383,3.225944,0.09,1.4004179,54.06,78.54,66.3,7.10072,8.8644,29.7294007,25.0213125,7.4386863,4.608333333,2.90385741,3.6581338,0.950199533,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
409,2007,USA,9.316255167,1.706996121,7.609259641,4.090196034,18.23282621,11.6,9.950530035,0.326806437,2.852673,0.09,1.3315759,54.78,80.5,67.64,7.228571429,9,29.4867473,24.9104739,7.3452885,4.616666667,2.933141484,3.679855502,0.936811164,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
410,2008,USA,8.729752511,1.752365849,6.977387686,4.262702194,16.97278329,11.9,10.64187297,-0.390115759,3.8391,0.09,-0.198513,54.68,75.78,65.23,7.228571429,9,29.1163612,24.3630854,7.093644,5.8,2.374181118,3.710828814,2.089171186,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0
411,2009,USA,7.55937493,1.784567301,5.774808256,4.44057317,14.36956656,11.8,16.25184043,-0.395277317,-0.3555463,0.09,-3.8599124,53.26,74.36,63.81,3.81128,5.6544,28.8204822,25.0194057,7.2107134,9.283333333,1.588848642,3.840548341,5.442784993,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0
412,2010,USA,7.650308286,1.789023792,5.861285615,4.282713316,14.03123092,11.4,28.98765765,2.703399338,1.640043,0.09,-2.3797227,53.76,75.46,64.61,4.316651429,5.4704,29.7541113,25.7938746,7.6747382,9.608333333,1.847073656,4.212754369,5.395578964,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
413,2011,USA,7.904455773,1.721607604,6.18284805,4.080956112,14.65602932,11.3,31.32135845,0.509058452,3.156842,0.09,-2.1194052,54.96,75.42,65.19,4.218971429,5.352,29.977257,25.2500494,7.5692722,8.933333333,2.107260657,4.338762711,4.594570622,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0
