"","country","year","unemployment_rate","vacancy_rate","active_pop","active_pop_growth","vacancy_stock_eurostat"
"27","Belgium","2015",8.675,1.83264198127079,4930000,-0.0229841989860535,90330.4011031518
"28","Belgium","2016",7.925,2.2011878889079,4932750,0.220631881168376,108611.053630013
"29","Belgium","2017",7.175,2.68798213263022,4943000,-0.0621709124830582,132889.392185812
"30","Belgium","2018",6,2.89293507396853,5003750,0.365558709401042,144780.59589705
"31","Belgium","2019",5.45,2.7841435204959,5048250,-0.0158775187927113,140536.371900833
"32","Belgium","2020",5.75,2.46712784341087,5011500,-0.123366989733474,123651.861196373
"33","Belgium","2021",6.3,3.44803021018436,5116000,0.789938094489149,176665.743031144
"34","Belgium","2022",5.575,3.93387806200164,5215000,0.427655212654419,205113.385384914
"35","Bulgaria","2005",10.1,0.644961155745742,3280750,NA,21157.8075121535
"36","Bulgaria","2006",8.95,0.585992851002394,3376250,0.853991887751546,19785.437216671
"37","Bulgaria","2007",6.925,0.703721001481522,3449750,0.414764402109139,24278.4040098901
"38","Bulgaria","2008",5.65,0.649264612743561,3504000,0.0952874747122035,22753.972907993
"39","Bulgaria","2009",7.95,0.504961500552267,3429750,-0.797286436219782,17316.2573826928
"40","Bulgaria","2010",11.325,0.491014752580991,3376750,-0.0952693651244502,16578.6226648535
"41","Bulgaria","2011",12.3,0.495502645149564,3295250,-0.567103737105206,16324.2045497076
"42","Bulgaria","2012",13.275,0.495998532402697,3300250,0.167539359057088,16365.7643315903
"43","Bulgaria","2013",13.9,0.44348669607711,3318750,0.0680372861063799,14717.8575536635
"44","Bulgaria","2014",12.4,0.479326390848873,3302250,-0.24661875393432,15828.3079878983
"45","Bulgaria","2015",10.1,0.540178746245596,3271250,-0.20554776131979,17669.7756074659
"46","Bulgaria","2016",8.55,0.610269301567352,3198500,-0.688993246568317,19521.2650659104
"47","Bulgaria","2017",7.175,0.593128123212379,3268000,0.873931907625823,19382.2060593472
"48","Bulgaria","2018",6.2,0.644590296019175,3237250,-0.490016426970606,20865.5854361189
"49","Bulgaria","2019",5.225,0.61633862920189,3265750,0.2363601347113,20126.6390758556
"50","Bulgaria","2020",6.125,0.525985108532831,3188000,-0.477991010981482,16762.0868263015
"51","Bulgaria","2021",5.275,0.553883540059968,3154000,-0.497396130185311,17465.0590724479
