"","region","date","unemployment_rate","vacancy_rate","becru","fegap"
"1","Anglo-American",2000-01-01,4.022369978419,3.47415336481317,3.73822554095494,0.284144437464065
"2","Anglo-American",2000-04-01,3.90989741500995,3.32844626469098,3.60747604930577,0.30242136570418
"3","Anglo-American",2000-07-01,3.93829020121942,3.20858882598346,3.55476496172571,0.383525239493712
"4","Anglo-American",2000-10-01,3.84256688322926,3.08516945904756,3.44310470251581,0.399462180713454
"5","Anglo-American",2001-01-01,4.09593752700861,3.03724417146076,3.52708978912847,0.568847737880142
"6","Anglo-American",2001-04-01,4.21561739937166,3.04209402652946,3.58110381150312,0.634513587868537
"7","Anglo-American",2001-07-01,4.56193684124406,2.81928761942475,3.5862810900872,0.975655751156861
"8","Anglo-American",2001-10-01,5.11823077467122,2.33799647514946,3.45924926973799,1.65898150493324
"9","Anglo-American",2002-01-01,5.28030621374313,2.4031092357669,3.56218368840287,1.71812252534026
"10","Anglo-American",2002-04-01,5.38744293057423,2.34753262989252,3.5562899307012,1.83115299987303
"11","Anglo-American",2002-07-01,5.30176138512374,2.30230959247993,3.49375100629825,1.80801037882549
"12","Anglo-American",2002-10-01,5.40504651017598,2.23020547037164,3.47193955802914,1.93310695214684
"13","Anglo-American",2003-01-01,5.40759846038495,2.28037021114033,3.51159884424035,1.8959996161446
"14","Anglo-American",2003-04-01,5.62951004176778,2.19929309888498,3.51865636073822,2.11085368102955
"15","Anglo-American",2003-07-01,5.62342192402147,2.16156241473508,3.48645629158921,2.13696563243225
"16","Anglo-American",2003-10-01,5.36321286637794,2.15392647080052,3.39881834781287,1.96439451856508
"17","Anglo-American",2004-01-01,5.2374705194702,2.28087285183502,3.45629922317873,1.78117129629148
"18","Anglo-American",2004-04-01,5.13649528555409,2.37831332835172,3.495167406384,1.64132787917009
"19","Anglo-American",2004-07-01,4.98431861402159,2.49400562190246,3.52575079163615,1.45856782238544
"20","Anglo-American",2004-10-01,4.97860138058125,2.36862876871101,3.43401491813724,1.54458646244401
"21","Anglo-American",2005-01-01,4.86412555036909,2.47674691659338,3.47090880877037,1.39321674159872
"22","Anglo-American",2005-04-01,4.71293884001764,2.61414599074307,3.51002993908163,1.202908900936
"23","Anglo-American",2005-07-01,4.61048505079967,2.68623456326882,3.51921074914423,1.09127430165545
"24","Anglo-American",2005-10-01,4.62541098170283,2.65490082474272,3.50428415373195,1.12112682797087
"25","Anglo-American",2006-01-01,4.44235891884954,2.72343786867845,3.47828815739241,0.964070761457132
"26","Anglo-American",2006-04-01,4.37156576066592,2.78981750118154,3.4922586769413,0.879307083724626
"27","Anglo-American",2006-07-01,4.37284569405511,2.75556994256433,3.47126520997893,0.901580484076175
"28","Anglo-American",2006-10-01,4.20277716019174,2.71654813994099,3.37891202565343,0.823865134538314
"29","Anglo-American",2007-01-01,4.23774329425318,2.84065209773877,3.46957553290006,0.768167761353125
"30","Anglo-American",2007-04-01,4.21407788253347,2.89486137232836,3.49273120668188,0.721346675851592
"31","Anglo-American",2007-07-01,4.34065849917955,2.83007521494053,3.50490941895065,0.835749080228894
"32","Anglo-American",2007-10-01,4.43630018035683,2.63788367405301,3.42088348514849,1.01541669520833
"33","Anglo-American",2008-01-01,4.58775075906146,2.56983741449483,3.43362396732857,1.15412679173289
"34","Anglo-American",2008-04-01,4.88522762932601,2.45631014408112,3.46404881346364,1.42117881586238
"35","Anglo-American",2008-07-01,5.50750496628314,2.23827236610189,3.51102494610911,1.99648002017403
"36","Anglo-American",2008-10-01,6.32316339012174,1.88628271683954,3.45358854216005,2.8695748479617
"37","Anglo-American",2009-01-01,7.64205077805024,1.67719140144057,3.58010919586514,4.06194158218511
"38","Anglo-American",2009-04-01,8.60749989219896,1.50711791400528,3.6017380918567,5.00576180034226
"39","Anglo-American",2009-07-01,8.91615928765309,1.47242125050122,3.62330545331114,5.29285383434196
"40","Anglo-American",2009-10-01,9.17184092843335,1.51634463111325,3.72929909624512,5.44254183218823
"41","Anglo-American",2010-01-01,9.08058960320263,1.65359257016807,3.8749961936241,5.20559340957852
"42","Anglo-American",2010-04-01,8.87251643044309,1.81764134265581,4.01585018114052,4.85666624930257
"43","Anglo-American",2010-07-01,8.71404675361095,1.78005627508142,3.9384633558176,4.77558339779335
